id,name,status,sub_cate_id,click
13881,baby care,1,65,0
13882,diapers and wipes,1,65,0
13883,diapers and baby wipes,1,65,0
13884,chicco diapers,1,65,0
13885,johnson diapers,1,65,0
13886,mamy poko pants,1,65,0
13887,pampers,1,65,0
13888,wypall diapers,1,65,0
13889,huggies diapers,1,65,0
13890,super cute pants,1,65,0
13891,diapers,1,65,0
13892,baby diapers,1,65,0
13893,baby diapers medium size,1,65,0
13894,baby diapers xxl size,1,65,0
13895,baby diapers xl size,1,65,0
13896,baby diapers small size,1,65,0
13897,baby diapers large size,1,65,0
13898,baby wipes,1,65,0
13899,new born baby diapers,1,65,0
