id,discount
405217,0
251150,12
250543,10
249926,10
249944,10
249951,10
249961,10
285818,10
249963,10
249953,10
250544,10
342749,10
250624,10
250625,10
368181,10
250626,0
250512,10
250103,10
250553,10
250110,10
250116,11
250549,12
250122,10
250545,10
250547,0
250492,11
250641,10
250485,0
250554,10
250474,10
250561,10
403952,11
319569,0
334392,32
250569,11
250460,10
250457,10
250445,10
250638,10
102582,0
319957,32
102592,32
102587,32
128069,32
102590,32
102615,32
250521,10
250656,0
250657,10
250462,10
250634,10
250635,10
250536,0
273395,10
347642,10
250931,11
250660,10
SB0065,0
270201,0
250465,10
250468,10
250570,11
250574,10
252663,13
250586,11
250679,11
250438,10
250440,10
250443,10
250680,12
250216,10
SB0070,11
250600,10
279522,0
279427,10
250615,10
405152,0
368287,10
106227,32
107443,32
106244,32
107449,32
106220,32
246792,32
134262,32
107558,32
106224,32
106367,32
405143,0
250511,10
277860,34
250591,11
279433,10
SB0040,10
250200,10
250205,10
250490,10
SB0068,10
250219,0
250667,0
340409,10
398436,23
388437,10
298938,10
250930,10
250658,0
261478,10
405202,10
250645,10
250647,10
250231,10
SB0041,0
SB0043,0
SB0042,0
250383,0
SB0039,10
250406,10
250683,11
250685,10
249877,10
368136,19
249965,10
326808,32
326809,32
SB0066,0
SB0067,0
326807,32
326815,0
SB0064,0
146675,0
326812,0
250507,10
277862,0
250509,10
250505,10
338005,0
249882,10
249885,0
249889,10
357258,10
250662,10
250687,11
250222,10
368197,0
250133,10
250145,10
350478,0
250095,10
106271,32
253355,0
250174,10
250528,10
250604,10
250538,0
250539,10
250607,10
250223,10
250608,10
250689,10
307012,10
307011,18
307009,18
307010,25
317850,39
277865,10
368273,27
250531,10
250609,10
261662,0
350486,10
250417,10
250437,10
250631,0
405186,0
405141,0
405155,0
405146,0
405156,0
405140,0
405149,0
405147,0
405138,0
405158,0
405194,0
405154,0
405161,0
405162,0
405193,0
405163,0
405215,0
405190,0
405216,0
250659,0
250077,10
SB0037,0
SB0038,0
SB0069,0
250611,10
250664,10
250665,10
208647,32
102596,32
SB0077,11
250193,10
SB0078,32
350487,0
SB0076,0
106312,32
106235,32
106254,32
106268,32
106288,32
277174,32
106374,32
107563,32
106261,32
106216,32
106306,32
106316,32
106369,32
SB0079,32
106384,32
SB0091,32
101678,0
SB0080,0
SB0052,0
SB0081,0
SB0082,0
SB0084,0
SB0085,0
SB0086,0
SB0087,0
SB0088,0
SB0089,10
SB0090,0
249415,0
249959,10
250196,0
368187,0
368288,5
368284,0
368277,0
250215,10
128329,32
SB0092,32
SB0093,32
SB0094,32
SB0095,0
SB0096,0
342122,32
127123,32
288052,32
328035,0
394857,32
SB0001,9
SB0002,8
SB0004,9
SB0005,8
SB0006,9
SB0007,9
SB0008,7
SB0009,9
SB0010,9
SB0011,8
SB0012,9
SB0013,9
SB0014,9
SB0015,9
SB0016,9
SB0017,9
SB0018,9
SB0019,9
SB0020,9
SB0021,9
SB0022,9
SB0023,9
SB0024,9
SB0026,9
SB0027,9
SB0028,9
SB0029,9
SB0030,9
SB0031,9
SB0032,9
SB0033,8
SB0034,9
SB0035,9
SB0003,8
SB0025,8
SB0036,9
SB0071,7
SB0072,9
SB0073,9
SB0074,9
SB0075,9
358846,9
289973,9
410561,9
410563,9
410564,9
410571,9
410572,9
410574,9
410576,9
410577,9
410583,9
410585,9
410567,9
422452,9
410400,9
422452,9
336901,9
410569,9
316384,9
335697,9
285296,9
308034,9
335695,9
285273,9
285280,9
285283,9
285314,9
285284,9
410400,9
346287,9
346286,9
346284,9
346288,9
346285,9
270620,9
316326,8
270621,5
379550,5
269370,14
137575,14
366604,5
279588,4
409905,9
409904,5
421398,2
421399,2
421400,2
410617,9
271205,4
294904,9
423837,9
423840,9
423839,9
423838,9
409907,9
409909,8
409906,9
409908,8
423016,9
214022,9
422650,19
422857,19
428637,19
374382,9
413533,14
264679,9
345689,14
279587,5
